LexToken(OPEN_TAG,'<?php',1,1)
LexToken(ONE_LINE_COMMENT,'// Declaración de variables',1,7)
LexToken(ID,'$variable1',1,35)
LexToken(EQUALS,'=',1,46)
LexToken(INTEGER,10,1,48)
LexToken(SEMICOLON,';',1,50)
LexToken(ID,'$variable2',1,52)
LexToken(EQUALS,'=',1,63)
LexToken(STRING,'"Hola, mundo!"',1,65)
LexToken(SEMICOLON,';',1,79)
LexToken(ID,'$variable3',1,81)
LexToken(EQUALS,'=',1,92)
LexToken(TRUE,'true',1,94)
LexToken(SEMICOLON,';',1,98)
LexToken(ONE_LINE_COMMENT,'// Estructura condicional',1,100)
LexToken(IF,'if',1,126)
LexToken(LEFT_PAREN,'(',1,129)
LexToken(ID,'$variable1',1,130)
LexToken(GREATER_THAN,'>',1,141)
LexToken(INTEGER,5,1,143)
LexToken(RIGHT_PAREN,')',1,144)
LexToken(LEFT_BRACE,'{',1,146)
LexToken(ECHO,'echo',1,149)
LexToken(STRING,'"El número es mayor que 5"',1,154)
LexToken(SEMICOLON,';',1,180)
LexToken(RIGHT_BRACE,'}',1,182)
LexToken(ELSE,'else',1,184)
LexToken(LEFT_BRACE,'{',1,189)
LexToken(ECHO,'echo',1,192)
LexToken(STRING,'"El número es menor o igual que 5"',1,197)
LexToken(SEMICOLON,';',1,231)
LexToken(RIGHT_BRACE,'}',1,233)
LexToken(ONE_LINE_COMMENT,'// Bucle',1,235)
LexToken(FOR,'for',1,244)
LexToken(LEFT_PAREN,'(',1,248)
LexToken(ID,'$i',1,249)
LexToken(EQUALS,'=',1,252)
LexToken(INTEGER,0,1,254)
LexToken(SEMICOLON,';',1,255)
LexToken(ID,'$i',1,257)
LexToken(LESS_THAN,'<',1,260)
LexToken(INTEGER,5,1,262)
LexToken(SEMICOLON,';',1,263)
LexToken(ID,'$i',1,265)
LexToken(PLUS_PLUS,'++',1,267)
LexToken(RIGHT_PAREN,')',1,269)
LexToken(LEFT_BRACE,'{',1,271)
LexToken(ECHO,'echo',1,274)
LexToken(STRING,'"Iteración número: $i<br>"',1,279)
LexToken(SEMICOLON,';',1,305)
LexToken(RIGHT_BRACE,'}',1,307)
LexToken(ONE_LINE_COMMENT,'// Operadores aritméticos',1,309)
LexToken(ID,'$resultado',1,335)
LexToken(EQUALS,'=',1,346)
LexToken(ID,'$variable1',1,348)
LexToken(PLUS,'+',1,359)
LexToken(INTEGER,3,1,361)
LexToken(SEMICOLON,';',1,362)
LexToken(ECHO,'echo',1,364)
LexToken(STRING,'"El resultado de la suma es: $resultado"',1,369)
LexToken(SEMICOLON,';',1,409)
LexToken(ONE_LINE_COMMENT,'// Operadores lógicos',1,411)
LexToken(IF,'if',1,433)
LexToken(LEFT_PAREN,'(',1,436)
LexToken(ID,'$variable3',1,437)
LexToken(LOGICAL_AND,'&&',1,448)
LexToken(ID,'$variable1',1,451)
LexToken(EQUAL_TO,'==',1,462)
LexToken(INTEGER,10,1,465)
LexToken(RIGHT_PAREN,')',1,467)
LexToken(LEFT_BRACE,'{',1,469)
LexToken(ECHO,'echo',1,472)
LexToken(STRING,'"La variable3 es verdadera y la variable1 es igual a 10"',1,477)
LexToken(SEMICOLON,';',1,533)
LexToken(RIGHT_BRACE,'}',1,535)
LexToken(ONE_LINE_COMMENT,'// Asignación',1,537)
LexToken(ID,'$variable1',1,551)
